song_name,tempo,time_signature,instruments,key_signature,label
(Eltana Qalabar) Alestorm - Nancy the Tavern Wench,45.000011250002814,6/8,Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar,Eb,Tavern
(Nakhuto Saghii) World of Warcraft - Forsaken Tavern_ Tarren Mill,90.00009000009,4/4,Violin;Violin,Unknown,Tavern
(Nakhuto Saghii) World Of Warcraft - Pirate Tavern_ Salty Sailor,100.0,4/4,Violin;Violin,Unknown,Tavern
-library-shop-,136.0001450668214,4/4,Bass;Flute;Violin;Flute;Flute;Reeds;Other;Organ;Flute;Violin;Flute;Flute,C,Tavern
91027,140.00014000014,4/4,Piano,Eb,Tavern
Animal Crossing - K.K. Jongara,Unknown,4/4,Flute,G,Tavern
Banjo_Tooie_intro,140.00014000014,4/4,Other;Other;Flute;Trumpet;Trumpet;Trumpet;Reeds;Bells;Violin;Piano,C,Tavern
BKMonster,109.99990833340972,4/4,Violin;Bass;Organ;Bells;Piano;Other;Voice;Violin;Violin;Other;Bells;Violin,C,Tavern
Blizzard - Light Club Hotline Miami 2. Wrong Number,140.00014000014,4/4,Bass;Piano;Other;Other;Violin;Bass,Unknown,Tavern
Cowboy Bebop - Cat Blues,144.00023040036865,4/4,Flute,C,Tavern
Cowboy Bebop - Goodnight Julia,120.0,4/4,Reeds;Piano,Bb,Tavern
Final Fantasy Adventure - Royal Palace Theme,73.94489872629912,4/4,Piano;Piano,A,Tavern
forest-2-,142.0017513549334,4/4,Flute;Piano;Piano;Bass;Piano;Piano;Voice;Voice;Voice;Piano;Voice,Unknown,Tavern
Fullmetal Alchemist - Motherland,35.00001458333941,4/4,Reeds;Voice;Bells;Piano;Other;Voice;Violin;Unknown;Piano;Voice,Ab,Tavern
Game_System__Nintendo_Wizardry_Gilgamesh_TavernSequenced_by__Conversion,60.0,Unknown,Bells;Reeds;Violin;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano,Unknown,Tavern
HM64_-_Bar,195.000195000195,4/4,Violin;Reeds;Violin;Reeds;Piano;Piano;Flute;Flute;Flute;Bass;Guitar;Violin;Violin,C,Tavern
hotel-rhumba-i-want-to-go-home-remix-,120.0,4/4,Trumpet;Guitar;Bass;Bells;Guitar;Piano;Voice;Piano,C,Tavern
hotel,140.00014000014,4/4,Organ;Bass;Organ;Other,C,Tavern
kamiki_festival,100.0,Unknown,Other;Piano;Flute;Flute;Voice;Voice;Other;Voice;Unknown;Bells,Unknown,Tavern
La_Chicane_Ma_Taverne,208.00038826739143,4/4,Piano;Piano;Bass;Bass;Piano;Piano;Guitar;Guitar;Guitar;Guitar;Piano;Piano;Guitar;Guitar,C,Tavern
LBA2T,115.00002875000719,Unknown,Piano;Piano;Piano;Piano;Piano;Piano,Unknown,Tavern
luckyleebar,100.0,4/4,Unknown;Other;Bells;Bells,Eb,Tavern
lucy,96.0,4/4,Piano;Piano,Unknown,Tavern
machinex,140.99997180000565,4/4,Other;Unknown;Piano;Bells;Guitar;Bells;Piano;Piano;Other;Voice;Violin;Voice;Trumpet;Trumpet;Guitar;Guitar;Bass;Piano,Unknown,Tavern
Mario Party - Mushroom Shop,107.98747345307945,4/4,Piano,C,Tavern
Mario Party 2 - Start of the Adventure,119.99928000431997,4/4,Piano,D,Tavern
mistress,115.00002875000719,3/4,Flute;Flute;Flute;Flute;Piano;Piano;Piano;Piano;Piano;Piano,F,Tavern
okaeri,115.00002875000719,4/4,Unknown;Flute;Trumpet;Guitar;Bells;Other;Other;Bass;Piano,Unknown,Tavern
One Piece - Memories,142.0000710000355,4/4,Piano;Piano;Piano,C,Tavern
P5_Rivers_in_the_Desert_by_fakt13,130.00013000013,4/4,Other;Guitar;Guitar;Other;Other;Piano;Violin;Violin;Voice;Voice;Voice;Unknown;Piano;Piano;Piano,Unknown,Tavern
